device_id	id_owner	id_manufacturer	location	device_class	clock_speed	total_power	remaining_power	malicious_node	services_id_list	
1	2	5	1	2	1000000	0.1	0.1	0	[ 1 ]		
2	4	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
3	1	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
4	4	2	1	2	1000000	0.1	0.1	0	[ 1 ]		
5	1	9	1	3	2000000	0.2	0.2	0	[ 1 ]		
6	1	9	1	3	2000000	0.2	0.2	0	[ 1 ]		
7	3	6	1	2	1000000	0.1	0.1	0	[ 1 ]		
8	1	10	1	2	1000000	0.1	0.1	0	[ 1 ]		
9	1	5	1	2	1000000	0.1	0.1	0	[ 1 ]		
10	5	1	1	2	1000000	0.1	0.1	1	[ 1 ]		
11	2	8	1	2	1000000	0.1	0.1	0	[ 1 ]		
12	3	4	1	2	1000000	0.1	0.1	0	[ 1 ]		
13	2	5	1	2	1000000	0.1	0.1	0	[ 1 ]		
14	5	6	1	2	1000000	0.1	0.1	0	[ 1 ]		
15	1	5	1	3	2000000	0.2	0.2	1	[ 1 ]		
16	2	4	1	3	2000000	0.2	0.2	0	[ 1 ]		
17	2	3	1	2	1000000	0.1	0.1	0	[ 1 ]		
18	3	4	1	2	1000000	0.1	0.1	0	[ 1 ]		
19	1	10	1	2	1000000	0.1	0.1	0	[ 1 ]		
20	5	4	1	3	2000000	0.2	0.2	0	[ 1 ]		
21	2	1	1	3	2000000	0.2	0.2	0	[ 1 ]		
22	2	10	1	2	1000000	0.1	0.1	0	[ 1 ]		
23	2	9	1	2	1000000	0.1	0.1	0	[ 1 ]		
24	4	8	1	3	2000000	0.2	0.2	0	[ 1 ]		
25	5	6	1	3	2000000	0.2	0.2	0	[ 1 ]		
