LAMBDA	T_Perso
5	0.000811676
6	0.00218083
7	0.00494701
8	0.0099146
9	0.0180784
10	0.0305993
11	0.0487701
12	0.0739757
13	0.107652
14	0.151246
15	0.206178
16	0.27381
17	0.355418
18	0.452177
19	0.565138
20	0.695227
21	0.843235
22	1.00982
23	1.19551
24	1.40072
25	1.62572
26	1.87069
27	2.13572
28	2.42079
29	2.72581
30	3.05063
31	3.39502
32	3.75871
33	4.14139
34	4.5427
35	4.96227
36	5.39968
37	5.85452
38	6.32634
39	6.81471
40	7.31916
41	7.83926
42	8.37454
43	8.92456
44	9.48886
45	10.067
46	10.6586
47	11.2631
48	11.8803
49	12.5096
50	13.1507
