device_id	id_owner	id_manufacturer	location	device_class	clock_speed	total_power	remaining_power	malicious_node	services_id_list	
1	2	5	1	2	1000000	0.1	0.1	0	[ 1 ]		
2	4	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
3	4	6	1	2	1000000	0.1	0.1	0	[ 1 ]		
4	4	2	1	3	2000000	0.2	0.2	0	[ 1 ]		
5	3	6	1	2	1000000	0.1	0.1	1	[ 1 ]		
6	4	6	1	3	2000000	0.2	0.2	0	[ 1 ]		
7	1	8	1	2	1000000	0.1	0.1	0	[ 1 ]		
8	1	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
9	1	5	1	2	1000000	0.1	0.1	0	[ 1 ]		
10	1	7	1	3	2000000	0.2	0.2	0	[ 1 ]		
11	3	5	1	2	1000000	0.1	0.1	0	[ 1 ]		
12	1	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
13	4	2	1	2	1000000	0.1	0.1	1	[ 1 ]		
14	4	1	1	3	2000000	0.2	0.2	0	[ 1 ]		
15	2	9	1	2	1000000	0.1	0.1	0	[ 1 ]		
16	3	1	1	3	2000000	0.2	0.2	0	[ 1 ]		
17	5	8	1	2	1000000	0.1	0.1	0	[ 1 ]		
18	4	10	1	3	2000000	0.2	0.2	1	[ 1 ]		
19	4	7	1	2	1000000	0.1	0.1	1	[ 1 ]		
20	2	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
21	5	6	1	2	1000000	0.1	0.1	0	[ 1 ]		
22	2	1	1	3	2000000	0.2	0.2	0	[ 1 ]		
23	5	7	1	2	1000000	0.1	0.1	0	[ 1 ]		
24	1	10	1	3	2000000	0.2	0.2	0	[ 1 ]		
25	4	8	1	2	1000000	0.1	0.1	0	[ 1 ]		
