LAMBDA	T_Perso
5	3.85963e-05
6	0.000247519
7	0.00112684
8	0.00398353
9	0.011587
10	0.028855
11	0.0633126
12	0.125081
13	0.226307
14	0.380155
15	0.599619
16	0.896455
17	1.28042
18	1.75891
19	2.33689
20	3.01714
21	3.80054
22	4.6865
23	5.67329
24	6.75837
25	7.93866
26	9.21073
27	10.5709
28	12.0156
29	13.541
30	15.1436
31	16.8197
32	18.5659
33	20.3789
34	22.2556
35	24.1929
36	26.188
37	28.2381
38	30.3406
39	32.4931
40	34.6931
41	36.9386
42	39.2274
43	41.5575
44	43.9271
45	46.3343
46	48.7775
47	51.2551
48	53.7655
49	56.3074
50	58.8794
