LAMBDA	T_Perso
5	0.0110591
6	0.0292846
7	0.0652053
8	0.127783
9	0.227045
10	0.373349
11	0.576686
12	0.84611
13	1.18935
14	1.61263
15	2.12059
16	2.71641
17	3.40192
18	4.17782
19	5.04384
20	5.99894
21	7.04152
22	8.16951
23	9.38051
24	10.6719
25	12.041
26	13.485
27	15.0009
28	16.5861
29	18.2377
30	19.9529
31	21.7292
32	23.564
33	25.4548
34	27.3992
35	29.395
36	31.44
37	33.5321
38	35.6694
39	37.8499
40	40.0718
41	42.3335
42	44.6333
43	46.9696
44	49.3409
45	51.7459
46	54.1832
47	56.6514
48	59.1495
49	61.6762
50	64.2305
51	66.8112
