LAMBDA	T_Perso
5	4.81279e-06
6	1.28251e-05
7	2.88931e-05
8	5.75921e-05
9	0.0001046
10	0.000176608
11	0.000281205
12	0.000426731
13	0.000622133
14	0.00087682
15	0.00120053
16	0.0016032
17	0.00209485
18	0.00268552
19	0.00338511
20	0.00420342
21	0.00514999
22	0.00623409
23	0.00746473
24	0.00885054
25	0.0103998
26	0.0121205
27	0.0140201
28	0.0161058
29	0.0183844
30	0.0208623
31	0.0235454
32	0.0264393
33	0.0295495
34	0.0328806
35	0.0364374
36	0.0402239
37	0.0442441
38	0.0485016
39	0.0529996
40	0.057741
41	0.0627286
42	0.0679648
43	0.0734517
44	0.0791913
45	0.0851853
46	0.0914351
47	0.0979421
48	0.104707
49	0.111731
50	0.119015
