-1	0.7	0	0.65	0.7	0	0.7	0.7	0	0	0	0	0	0.65	0	0	0	0	0	0.7	0.7	0	0	0.7	0.65	
0.7	-1	0	0	0.7	0	0.7	0.7	0.65	0	0	0.65	0	0	0	0	0	0	0	0.7	0.7	0	0	0.7	0	
0	0	-1	0	0	0.7	0	0	0	0.7	0.65	0	0.65	0	0	0.7	0.65	0	0	0	0	0	0	0	0	
0.65	0	0	-1	0	0	0.65	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0.65	0	0	0	0.7	
0.7	0.7	0	0	-1	0	0.7	0.7	0.65	0	0	0.65	0	0	0	0	0	0	0	0.7	0.7	0	0	0.7	0	
0	0	0.7	0	0	-1	0	0	0	0.7	0.65	0	0.65	0	0	0.7	0.65	0	0	0	0	0	0	0	0	
0.7	0.7	0	0.65	0.7	0	-1	0.7	0	0	0	0	0	0.65	0	0	0	0	0	0.7	0.7	0	0	0.7	0.65	
0.7	0.7	0	0	0.7	0	0.7	-1	0	0.65	0	0	0	0	0	0	0	0.65	0	0.7	0.7	0	0.65	0.7	0	
0	0.65	0	0	0.65	0	0	0	-1	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0.7	0	0	0.7	0	0.65	0	-1	0	0	0	0	0	0.7	0	0.65	0	0.65	0	0	0.65	0	0	
0	0	0.65	0	0	0.65	0	0	0	0	-1	0	0.65	0	0	0.65	0.65	0	0	0	0	0.7	0	0	0	
0	0.65	0	0	0.65	0	0	0	0.65	0	0	-1	0	0.7	0	0	0.7	0	0	0	0	0	0.7	0	0	
0	0	0.65	0	0	0.65	0	0	0	0	0.65	0	-1	0	0	0.65	0.65	0.7	0.7	0	0	0	0	0	0	
0.65	0	0	0.65	0	0	0.65	0	0	0	0	0.7	0	-1	0	0	0.7	0	0	0	0.65	0	0.7	0	0.65	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0.65	0	0	0.65	0	0.65	0	
0	0	0.7	0	0	0.7	0	0	0	0.7	0.65	0	0.65	0	0	-1	0.65	0	0	0	0	0	0	0	0	
0	0	0.65	0	0	0.65	0	0	0	0	0.65	0.7	0.65	0.7	0	0.65	-1	0	0	0	0	0	0.7	0	0	
0	0	0	0	0	0	0	0.65	0	0.65	0	0	0.7	0	0	0	0	-1	0.7	0.65	0	0	0.65	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0.65	0	0	0.7	-1	0	0	0.65	0	0.65	0	
0.7	0.7	0	0	0.7	0	0.7	0.7	0	0.65	0	0	0	0	0	0	0	0.65	0	-1	0.7	0	0.65	0.7	0	
0.7	0.7	0	0.65	0.7	0	0.7	0.7	0	0	0	0	0	0.65	0	0	0	0	0	0.7	-1	0	0	0.7	0.65	
0	0	0	0	0	0	0	0	0	0	0.7	0	0	0	0.65	0	0	0	0.65	0	0	-1	0	0.65	0	
0	0	0	0	0	0	0	0.65	0	0.65	0	0.7	0	0.7	0	0	0.7	0.65	0	0.65	0	0	-1	0	0	
0.7	0.7	0	0	0.7	0	0.7	0.7	0	0	0	0	0	0	0.65	0	0	0	0.65	0.7	0.7	0.65	0	-1	0	
0.65	0	0	0.7	0	0	0.65	0	0	0	0	0	0	0.65	0	0	0	0	0	0	0.65	0	0	0	-1	
