device_id	id_owner	id_manufacturer	location	device_class	clock_speed	total_power	remaining_power	malicious_node	services_id_list	
1	3	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
2	5	5	1	2	1000000	0.2	0.2	0	[ 1 ]		
3	2	10	1	2	1000000	0.2	0.2	0	[ 1 ]		
4	3	8	1	3	2000000	0.3	0.3	0	[ 1 ]		
5	5	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
6	2	10	1	2	1000000	0.2	0.2	0	[ 1 ]		
7	3	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
8	1	5	1	3	2000000	0.3	0.3	1	[ 1 ]		
9	5	1	1	3	2000000	0.3	0.3	1	[ 1 ]		
10	1	10	1	3	2000000	0.3	0.3	0	[ 1 ]		
11	2	7	1	2	1000000	0.2	0.2	1	[ 1 ]		
12	5	3	1	3	2000000	0.3	0.3	0	[ 1 ]		
13	2	4	1	2	1000000	0.2	0.2	0	[ 1 ]		
14	3	3	1	3	2000000	0.3	0.3	0	[ 1 ]		
15	4	2	1	2	1000000	0.2	0.2	0	[ 1 ]		
16	2	10	1	2	1000000	0.2	0.2	0	[ 1 ]		
17	2	3	1	3	2000000	0.3	0.3	0	[ 1 ]		
18	1	4	1	2	1000000	0.2	0.2	0	[ 1 ]		
19	4	4	1	3	2000000	0.3	0.3	0	[ 1 ]		
20	1	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
21	3	5	1	2	1000000	0.2	0.2	0	[ 1 ]		
22	4	7	1	3	2000000	0.3	0.3	1	[ 1 ]		
23	1	3	1	2	1000000	0.2	0.2	1	[ 1 ]		
24	4	5	1	2	1000000	0.2	0.2	0	[ 1 ]		
25	3	8	1	2	1000000	0.2	0.2	0	[ 1 ]		
