device_id	id_owner	id_manufacturer	location	device_class	clock_speed	total_power	remaining_power	malicious_node	services_id_list	
1	4	6	1	3	2000000	0.3	0.3	0	[ 1 ]		
2	3	10	1	3	2000000	0.3	0.3	1	[ 1 ]		
3	4	2	1	3	2000000	0.3	0.3	0	[ 1 ]		
4	3	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
5	5	10	1	2	1000000	0.2	0.2	0	[ 1 ]		
6	2	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
7	4	9	1	3	2000000	0.3	0.3	0	[ 1 ]		
8	3	10	1	3	2000000	0.3	0.3	0	[ 1 ]		
9	1	3	1	3	2000000	0.3	0.3	0	[ 1 ]		
10	4	4	1	3	2000000	0.3	0.3	0	[ 1 ]		
11	1	6	1	2	1000000	0.2	0.2	0	[ 1 ]		
12	4	4	1	3	2000000	0.3	0.3	0	[ 1 ]		
13	4	9	1	3	2000000	0.3	0.3	0	[ 1 ]		
14	5	2	1	3	2000000	0.3	0.3	0	[ 1 ]		
15	1	3	1	3	2000000	0.3	0.3	0	[ 1 ]		
16	4	3	1	3	2000000	0.3	0.3	0	[ 1 ]		
17	5	10	1	3	2000000	0.3	0.3	0	[ 1 ]		
18	3	3	1	2	1000000	0.2	0.2	1	[ 1 ]		
19	4	5	1	3	2000000	0.3	0.3	0	[ 1 ]		
20	2	2	1	3	2000000	0.3	0.3	0	[ 1 ]		
21	3	7	1	2	1000000	0.2	0.2	0	[ 1 ]		
22	2	9	1	3	2000000	0.3	0.3	0	[ 1 ]		
23	2	6	1	3	2000000	0.3	0.3	0	[ 1 ]		
24	3	10	1	2	1000000	0.2	0.2	0	[ 1 ]		
25	4	6	1	2	1000000	0.2	0.2	0	[ 1 ]		
